"","ligand","receptor","species","celltype_sender","celltype_receiver","lr_co_exp_num","lr_co_ratio","lr_co_ratio_pvalue","score"
"182","INHBA","SMAD3","Human","TDuct_epithelium","TCancer_region",4,0.0285714285714286,0.09,0.742708978531734
"220","LAMA5","SDC1","Human","TDuct_epithelium","TCancer_region",10,0.0714285714285714,0.073,0.702285088310587
"228","JAG1","NOTCH3","Human","TDuct_epithelium","TCancer_region",13,0.0928571428571429,0.034,0.935561101711854
"390","FGF7","FGFR3","Human","TDuct_epithelium","TCancer_region",5,0.0357142857142857,0,0.709665369373703
"560","GNAI2","EDNRA","Human","TDuct_epithelium","TCancer_region",12,0.0857142857142857,0.003,0.721941323917298
"688","ADAM12","SDC4","Human","TDuct_epithelium","TCancer_region",10,0.0714285714285714,0.003,0.713541420095778
"786","ADAM9","ITGA3","Human","TDuct_epithelium","TCancer_region",11,0.0785714285714286,0.001,0.717742430753316
"820","LAMA5","ITGB4","Human","TDuct_epithelium","TCancer_region",12,0.0857142857142857,0.014,0.716529798689628
"1011","SLIT2","GPC1","Human","TDuct_epithelium","TCancer_region",6,0.0428571428571429,0,0.711971718465103
"1185","FGB","ITGA5","Human","TDuct_epithelium","TCancer_region",12,0.0857142857142857,0,0.716569423460673
"1400","SLIT2","SDC1","Human","TDuct_epithelium","TCancer_region",7,0.05,0.001,0.729048337818626
"13","ICAM3","ITGB2","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.042,0.926197393579608
"34","EFNB1","EPHB4","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.022,0.744489545497608
"36","EFNB1","EPHB3","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.033,0.701479271264863
"37","EFNB1","EPHB2","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0,0.755656394081213
"49","MADCAM1","CD44","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.056,0.879608322544176
"51","MIF","CXCR4","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.013,0.864187246582048
"52","MIF","CD44","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.082,0.867410496652567
"65","MMP2","FGFR1","Human","TDuct_epithelium","TPancreatic_tissue",9,0.126760563380282,0.048,0.971593011204891
"70","PLAT","ITGB2","Human","TDuct_epithelium","TPancreatic_tissue",6,0.0845070422535211,0,0.94628248124695
"81","TGFB1","SMAD3","Human","TDuct_epithelium","TPancreatic_tissue",6,0.0845070422535211,0.022,0.873594373176731
"84","TGFB1","ITGB6","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.058,0.807343293878883
"85","TGFB1","ITGAV","Human","TDuct_epithelium","TPancreatic_tissue",9,0.126760563380282,0.001,0.902217713820061
"87","TGFB1","SDC2","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0,0.867661725532209
"89","TGFB1","CXCR4","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.006,0.867246326047384
"90","TGFB1","ITGB5","Human","TDuct_epithelium","TPancreatic_tissue",11,0.154929577464789,0.002,0.814043811170653
"100","LAMB1","ITGAV","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.095,0.858722604421606
"101","LAMB1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.049,0.876716403956962
"102","LAMB1","ITGA6","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.063,0.695444383123245
"106","SERPINE1","ITGAV","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.007,0.899504270941625
"107","SERPINE1","ITGB5","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.085,0.779458603892895
"113","COL1A1","ITGA5","Human","TDuct_epithelium","TPancreatic_tissue",18,0.253521126760563,0.027,0.831352487043719
